Wine Consumption Per Capita in Cuba,
,
Date,Liters of Pure Alcohol
2019,0.07
2018,0.07
2017,0.07
2016,0.07
2015,0.07
2014,0.06
2013,0.07
2012,0.05
2011,0.05
2010,0.05
2009,0.05
2008,0.06
2007,0.07
2006,0.05
2005,0.05
2004,0.05
2003,0.04
2002,0.04
2001,0.04
2000,0.04
1999,0.23
1998,0.03
1997,0.02
1996,0.02
1995,0.01
1994,0.01
1993,0.01
1992,0.01
1991,0.01
1990,0.04
1989,0.05
1988,0.06
1987,0.06
1986,0.04
1985,0.07
1984,0.06
1983,0.06
1982,0.06
1981,0.07
1980,0.05
1979,0.04
1978,0.04
1977,0.08
1976,0.08
1975,0.03
1974,0.02
1973,0.10
1972,0.04
1971,0.05
1970,0.19
1969,0.06
1968,0.19
1967,0.10
1966,0.09
1965,0.11
1964,0.16
1963,0.14
1962,0.01
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/cuba-wine-consumption-per-capita,
