Wine Consumption Per Capita in Democratic Republic of the Congo,
,
Date,Liters of Pure Alcohol
2019,0.01
2018,0.01
2017,0.01
2016,0.01
2015,0.01
2014,0.01
2013,0.01
2012,0.01
2011,0.01
2010,0.00
2009,0.06
2008,0.02
2007,0.02
2006,0.02
2005,0.01
2004,0.01
2003,0.01
2002,0.00
2001,0.00
2000,0.00
1999,0.00
1998,0.01
1997,0.00
1996,0.00
1995,0.00
1994,0.00
1993,0.00
1992,0.00
1991,0.05
1990,0.00
1989,0.00
1988,0.00
1987,0.01
1986,0.00
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.01
1980,0.01
1979,0.00
1978,0.01
1977,0.00
1976,0.02
1975,0.01
1974,0.01
1973,0.03
1972,0.02
1971,0.02
1970,0.02
1969,0.02
1968,0.03
1967,0.02
1966,0.02
1965,0.04
1964,0.02
1963,0.02
1962,0.02
1961,0.01
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/democratic-republic-of-the-congo-wine-consumption-per-capita,
