Wine Consumption Per Capita in Ghana,
,
Date,Liters of Pure Alcohol
2018,0.00
2017,0.00
2016,0.00
2015,0.10
2014,0.08
2013,0.15
2012,0.24
2011,0.21
2010,0.18
2009,0.12
2008,0.15
2007,0.14
2006,0.11
2005,0.08
2004,0.08
2003,0.07
2002,0.05
2001,0.04
2000,0.04
1999,0.04
1998,0.05
1997,0.03
1996,0.06
1995,0.05
1994,0.05
1993,0.02
1992,0.00
1991,0.00
1990,0.00
1989,0.00
1988,0.00
1987,0.00
1986,0.00
1985,0.00
1984,0.00
1983,0.00
1982,0.00
1981,0.01
1980,0.00
1979,0.01
1978,0.01
1977,0.01
1976,0.01
1975,0.01
1974,0.01
1973,0.00
1972,0.00
1971,0.00
1970,0.01
1969,0.00
1968,0.00
1967,0.00
1966,0.00
1965,0.01
1964,0.01
1963,0.01
1962,0.01
1961,0.02
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/ghana-wine-consumption-per-capita,
