Wine Consumption Per Capita in Guinea,
,
Date,Liters of Pure Alcohol
2019,0.03
2018,0.03
2017,0.03
2016,0.03
2015,0.03
2014,0.03
2013,0.03
2012,0.03
2011,0.02
2010,0.03
2009,0.02
2008,0.03
2007,0.02
2006,0.01
2005,0.02
2004,0.02
2003,0.02
2002,0.04
2001,0.02
2000,0.02
1999,0.01
1998,0.01
1997,0.01
1996,0.01
1995,0.01
1994,0.02
1993,0.03
1992,0.02
1991,0.02
1990,0.02
1989,0.04
1988,0.02
1987,0.02
1986,0.02
1985,0.01
1984,0.01
1983,0.01
1982,0.01
1981,0.00
1980,0.00
1979,0.01
1978,0.00
1977,0.00
1976,0.00
1975,0.00
1974,0.00
1973,0.00
1972,0.00
1971,0.00
1970,0.00
1969,0.00
1968,0.00
1967,0.01
1966,0.01
1965,0.01
1964,0.02
1963,0.03
1962,0.06
1961,0.07
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/guinea-wine-consumption-per-capita,
