Wine Consumption Per Capita in Morocco,
,
Date,Liters of Pure Alcohol
2019,0.18
2018,0.18
2017,0.18
2016,0.17
2015,0.17
2014,0.19
2013,0.20
2012,0.20
2011,0.19
2010,0.18
2009,0.20
2008,0.17
2007,0.18
2006,0.19
2005,0.17
2004,0.19
2003,0.20
2002,0.18
2001,0.18
2000,0.19
1999,0.19
1998,0.24
1997,0.24
1996,0.18
1995,0.14
1994,0.20
1993,0.27
1992,0.27
1991,0.35
1990,0.35
1989,0.30
1988,0.30
1987,0.30
1986,0.30
1985,0.25
1984,0.25
1983,0.25
1982,0.25
1981,0.25
1980,0.25
1979,0.25
1978,0.36
1977,0.38
1976,0.38
1975,0.38
1974,0.39
1973,0.35
1972,0.39
1971,0.25
1970,0.29
1969,0.29
1968,0.48
1967,0.48
1966,0.21
1965,0.41
1964,0.39
1963,0.58
1962,1.07
1961,1.30
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/morocco-wine-consumption-per-capita,
