Wine Consumption Per Capita in Romania,
,
Date,Liters of Pure Alcohol
2019,3.02
2018,3.09
2017,3.09
2016,2.55
2015,2.70
2014,3.21
2013,3.08
2012,3.00
2011,3.03
2010,3.16
2009,3.33
2008,3.67
2007,3.43
2006,3.00
2005,2.34
2004,4.30
2003,3.34
2002,3.93
2001,3.74
2000,3.42
1999,3.52
1998,3.37
1997,4.72
1996,3.80
1995,3.73
1994,3.27
1993,3.87
1992,3.12
1991,3.31
1990,3.17
1989,2.44
1988,4.06
1987,4.06
1986,4.07
1985,4.09
1984,4.11
1983,4.14
1982,4.17
1981,4.32
1980,4.34
1979,5.32
1978,4.94
1977,4.45
1976,4.43
1975,4.86
1974,5.27
1973,5.32
1972,4.35
1971,4.39
1970,4.49
1969,4.37
1968,4.33
1967,3.96
1966,4.37
1965,4.44
1964,4.42
1963,4.49
1962,4.49
1961,3.71
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/romania-wine-consumption-per-capita,
