Wine Consumption Per Capita in Timor-Leste,
,
Date,Liters of Pure Alcohol
2019,0.11
2018,0.10
2017,0.10
2016,0.11
2015,0.11
2014,0.13
2013,0.09
2012,0.09
2011,0.07
2010,0.05
2009,0.06
2008,0.04
2007,0.03
2006,0.02
2005,0.02
2004,0.02
2003,0.03
2002,0.03
2001,0.03
2000,0.03
1999,0.03
1998,0.04
1997,0.04
1996,0.04
1995,0.05
1994,0.05
1993,0.05
1992,0.06
1991,0.07
1990,0.07
1989,
1988,
1987,
1986,
1985,
1984,
1983,
1982,
1981,
1980,
1979,
1978,
1977,
1976,
1975,0.00
1974,0.15
1973,0.09
1972,0.09
1971,0.24
1970,0.15
1969,0.26
1968,0.20
1967,0.26
1966,0.15
1965,0.15
1964,0.09
1963,0.16
1962,0.07
1961,0.10
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/east-timor-wine-consumption-per-capita,
