Wine Consumption Per Capita in Uzbekistan,
,
Date,Liters of Pure Alcohol
2019,0.14
2018,0.14
2017,0.14
2016,0.17
2015,0.18
2014,0.16
2013,0.16
2012,0.10
2011,0.10
2010,0.07
2009,0.07
2008,0.14
2007,0.16
2006,0.14
2005,0.16
2004,0.24
2003,0.32
2002,0.24
2001,0.31
2000,0.30
1999,0.47
1998,0.49
1997,0.52
1996,0.41
1995,0.72
1994,0.42
1993,0.47
1992,0.60
,
Source: World Health Organization,
Curated and published by NationMaster at:,
https://www.nationmaster.com/nmx/timeseries/uzbekistan-wine-consumption-per-capita,
